trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 0.95}",20,3,-184.71199731358365,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 4}",1
2,False,"{'a': 0.95, 'e': 0.9025}",35,0,-193.53399561659236,"{0: 19, 1: 5, 2: 5, 3: 5, 4: 1}",0
3,False,"{'a': 0.95, 'e': 0.8573749999999999}",20,0,-141.4959266744163,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.95, 'e': 0.8145062499999999}",35,0,-81.13882091782618,"{0: 25, 1: 3, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.95, 'e': 0.7737809374999998}",20,8,-101.61392532760892,"{0: 5, 1: 0, 2: 5, 3: 1, 4: 1}",1
6,False,"{'a': 0.95, 'e': 0.7350918906249998}",20,0,-112.37901995162005,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 2}",0
7,False,"{'a': 0.95, 'e': 0.6983372960937497}",25,12,-18.076572461129807,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.95, 'e': 0.6634204312890623}",25,0,-63.057281292357445,"{0: 20, 1: 2, 2: 0, 3: 2, 4: 1}",0
9,False,"{'a': 0.95, 'e': 0.6302494097246091}",30,0,-83.8851011217582,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.95, 'e': 0.5987369392383787}",25,15,-48.795597222904576,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.95, 'e': 0.5688000922764597}",30,0,-91.09459445352718,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.95, 'e': 0.5403600876626367}",20,1,-38.921059935714766,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 1}",1
13,False,"{'a': 0.95, 'e': 0.5133420832795048}",30,3,-99.97687358337595,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 2}",1
14,False,"{'a': 0.95, 'e': 0.48767497911552954}",20,0,-88.59157384521632,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.95, 'e': 0.46329123015975304}",30,0,-173.3864155122192,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 3}",0
16,False,"{'a': 0.95, 'e': 0.44012666865176536}",20,0,-87.4875561824966,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
17,False,"{'a': 0.95, 'e': 0.4181203352191771}",20,0,-50.56471694813318,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.95, 'e': 0.3972143184582182}",30,0,-1.4792729647708391,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.95, 'e': 0.37735360253530725}",25,17,-26.037322526663836,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.95, 'e': 0.3584859224085419}",20,2,-26.475739446722603,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
21,False,"{'a': 0.95, 'e': 0.3405616262881148}",30,18,-35.075507971710486,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
22,False,"{'a': 0.95, 'e': 0.323533544973709}",20,0,-15.367370129971324,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
23,False,"{'a': 0.95, 'e': 0.3073568677250236}",20,0,9.372233810692174,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.95, 'e': 0.2919890243387724}",20,6,-52.4436689408584,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
25,False,"{'a': 0.95, 'e': 0.27738957312183377}",20,6,10.475251480365522,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.95, 'e': 0.26352009446574204}",20,0,4.488970054474906,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
27,False,"{'a': 0.95, 'e': 0.2503440897424549}",20,0,6.871538617402436,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
28,False,"{'a': 0.95, 'e': 0.23782688525533216}",20,3,-7.62602521053493,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
29,False,"{'a': 0.95, 'e': 0.22593554099256555}",20,0,-14.296625807503327,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
30,False,"{'a': 0.95, 'e': 0.21463876394293727}",20,0,13.583391723887893,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.95, 'e': 0.2039068257457904}",20,0,6.690902433865911,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.95, 'e': 0.19371148445850087}",25,0,-28.669435752853985,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
33,False,"{'a': 0.95, 'e': 0.18402591023557582}",20,8,-10.953754612680209,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
34,False,"{'a': 0.95, 'e': 0.174824614723797}",20,10,17.885923188365446,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.95, 'e': 0.16608338398760716}",30,3,25.021181710319173,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.95, 'e': 0.1577792147882268}",25,9,23.587384482491004,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.95, 'e': 0.14989025404881545}",20,3,0.3610684332058993,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
