trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.0228939356741,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-178.69123631919777,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.18759706153664,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-289.1785773987964,"{0: 17, 1: 2, 2: 8, 3: 5, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,2,-36.57809124277939,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-137.35975509603122,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.9738169737916,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-144.88495150328845,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.65405255596144,"{0: 11, 1: 5, 2: 5, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.95061719473443,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.07407980782597,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-139.55943740732778,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.97715165349317,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.56808003238532,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.83914490334958,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.06062670016757,"{0: 12, 1: 6, 2: 3, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.85695313709863,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.45638422159638,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,5,-58.967326157681306,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.8809954640848,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-171.26513184344867,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-177.63755597129898,"{0: 15, 1: 6, 2: 6, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-107.16273780902053,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-143.98924159897845,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.56081916289894,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-150.90593557602477,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-197.89182620272626,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-74.51999600630076,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-144.11851537407014,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-173.16624155608903,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
